DEPTH,GR,RHOB,RT
7724,104.63,2.545,15.639
7724.5,104.52,2.544,18.751
7725,104.41,2.544,16.565
7725.5,103.27,2.54,17.482
7726,102.13,2.536,16.839
7726.5,100.33,2.531,15.12
7727,98.52,2.525,15.5
7727.5,97.84,2.523,14.575
7728,97.17,2.521,13.6
7728.5,95.73,2.517,10.732
7729,94.29,2.513,10.786
7729.5,92.62,2.509,11.851
7730,90.95,2.504,11.554
7730.5,91.04,2.505,10
7731,91.14,2.505,11.051
7731.5,92.59,2.509,11.961
7732,94.05,2.513,13.345
7732.5,93.24,2.51,13.369
7733,92.42,2.508,11.762
7733.5,92.85,2.509,13.468
7734,93.28,2.511,13.915
7734.5,91.11,2.505,11.255
7735,88.93,2.499,11.641
7735.5,90.47,2.503,11.728
7736,92,2.507,13.602
7736.5,91.33,2.505,9.496
7737,105.51,2.548,19.681
7737.5,102.67,2.538,17.808
7738,99.83,2.529,12.35
7738.5,96.56,2.52,13.331
7739,93.29,2.511,11.068
7739.5,94.32,2.513,12.597
7740,95.36,2.516,10.699
7740.5,100.89,2.532,12.978
7741,106.42,2.551,20.588
7741.5,106.4,2.551,25.213
7742,106.38,2.551,22.007
7742.5,105.19,2.547,19.635
7743,103.99,2.543,18.186
7743.5,104.92,2.546,21.169
7744,105.84,2.549,26.505
7744.5,106.68,2.552,21.329
7745,107.51,2.555,25.142
7745.5,107.71,2.556,21.023
7746,107.9,2.557,25.354
7746.5,109.25,2.562,29.017
7747,110.59,2.568,27.455
7747.5,108.47,2.559,30.648
7748,106.35,2.551,25.39
7748.5,106.67,2.552,18.432
7749,106.99,2.553,21.811
7749.5,107.43,2.555,27.999
7750,107.86,2.557,18.64
7750.5,105.71,2.549,20.884
7751,103.56,2.541,15.988
7751.5,102.82,2.539,17.782
7752,102.08,2.536,17.024
7752.5,101.72,2.535,14.142
7753,101.36,2.534,15.046
7753.5,100.79,2.532,16.268
7754,100.23,2.53,11.575
7754.5,99.81,2.529,14.976
7755,99.4,2.528,12.158
7755.5,97.25,2.522,14.257
7756,95.1,2.516,12.813
7756.5,97.7,2.523,13.068
7757,100.31,2.531,14.172
7757.5,100.37,2.531,13.964
7758,100.43,2.531,15.091
7758.5,100.61,2.532,13.17
7759,100.79,2.532,12.287
7759.5,100.32,2.531,15.203
7760,99.86,2.529,12.376
7760.5,101.12,2.533,12.513
7761,102.39,2.537,15.554
7761.5,103.05,2.539,14.882
7762,103.71,2.542,15.796
7762.5,102.81,2.539,18.27
7763,101.91,2.536,13.484
7763.5,102.66,2.538,13.528
7764,103.4,2.541,18.13
7764.5,103.39,2.541,21.807
7765,103.38,2.54,18.633
7765.5,103.15,2.54,16.31
7766,102.92,2.539,15.934
7766.5,105.09,2.546,22.962
7767,107.26,2.554,26.172
7767.5,108.59,2.56,26.352
7768,109.92,2.565,26.31
7768.5,110.14,2.566,33.682
7769,110.36,2.567,29.157
7769.5,108.33,2.559,29.23
7770,106.3,2.551,23.047
7770.5,103.05,2.539,20.819
7771,99.81,2.529,15.113
7771.5,97.43,2.522,11.133
7772,95.05,2.515,9.753
7772.5,94.54,2.514,12.224
7773,94.03,2.513,11.64
7773.5,96.49,2.519,13.683
7774,98.96,2.527,11.835
7774.5,101.49,2.534,13.039
7775,104.03,2.543,19.801
7775.5,105.69,2.549,18.202
7776,107.35,2.555,20.314
7776.5,108.34,2.559,26.639
7777,111.16,2.571,37.761
7777.5,109.73,2.564,23.862
7778,108.3,2.559,22.06
7778.5,109.7,2.564,31.144
7779,111.1,2.57,35.699
7779.5,111.83,2.574,35.148
7780,112.56,2.577,34.709
7780.5,110.66,2.568,33.021
7781,108.77,2.56,25.702
7781.5,107.02,2.554,20.476
7782,105.26,2.547,16.689
7782.5,106.6,2.552,23.67
7783,107.93,2.557,22.401
7783.5,110.56,2.568,34.821
7784,113.18,2.58,48.611
7784.5,113.71,2.582,42.185
7785,114.25,2.585,49.937
7785.5,114.73,2.587,44.301
7786,115.21,2.59,52.41
7786.5,115.77,2.593,53.258
7787,116.32,2.595,85.151
7787.5,115.06,2.589,54.614
7788,113.79,2.583,47.904
7788.5,113.85,2.583,58.761
7789,113.9,2.583,40.658
7789.5,113.66,2.582,47.998
7790,113.43,2.581,38.593
7790.5,112.64,2.577,39.445
7791,111.85,2.574,30.259
7791.5,113.55,2.582,36.791
7792,115.25,2.59,64.752
7792.5,113.88,2.583,37.435
7793,112.5,2.577,35.003
7793.5,111.94,2.574,44.976
7794,111.38,2.572,29.917
7794.5,111.41,2.572,34.82
7795,111.44,2.572,37.115
7795.5,111.49,2.572,34.487
7796,111.53,2.572,31.145
7796.5,112.7,2.578,37.845
7797,113.88,2.583,38.317
7797.5,113.25,2.58,43.55
7798,112.62,2.577,43.318
7798.5,111.16,2.571,28.477
7799,109.71,2.564,29.121
7799.5,108.83,2.561,26.464
7800,107.96,2.557,26.005
7800.5,108.49,2.559,23.779
7801,109.03,2.562,26.411
7801.5,108.03,2.558,25.123
7802,107.04,2.554,24.552
7802.5,107.26,2.554,28.145
7803,107.48,2.555,25.449
7803.5,109.46,2.563,21.468
7804,111.43,2.572,35.842
7804.5,110.47,2.568,23.482
7805,109.51,2.564,28.631
7805.5,109.76,2.565,35.186
7806,110.01,2.566,34.189
7806.5,108.04,2.558,28.878
7807,106.07,2.55,20.102
7807.5,106.44,2.551,20.654
7808,106.8,2.553,26.427
7808.5,108.19,2.558,26.397
7809,109.57,2.564,25.313
7809.5,109.79,2.565,31.542
7810,110.01,2.566,30.665
7810.5,108.76,2.56,32.085
7811,107.5,2.555,20.396
7811.5,107.52,2.555,22.837
7812,107.53,2.556,23.791
7812.5,108.98,2.561,26.45
7813,110.42,2.567,28.592
7813.5,110.24,2.567,30.74
7814,110.05,2.566,27.145
7814.5,110.77,2.569,36.961
7815,111.5,2.572,33.557
7815.5,111.49,2.572,31.815
7816,111.48,2.572,30.911
7816.5,110.42,2.567,37.397
7817,109.36,2.563,28.72
7817.5,109.88,2.565,28.261
7818,110.4,2.567,33.95
7818.5,111.59,2.573,36.998
7819,112.78,2.578,47.828
7819.5,113,2.579,46.587
7820,113.22,2.58,46.759
7820.5,111.54,2.572,28.281
7821,109.86,2.565,27.95
7821.5,109.65,2.564,26.244
7822,109.43,2.563,28.553
7822.5,110.52,2.568,29.456
7823,111.6,2.573,34.765
7823.5,110.11,2.566,29.658
7824,108.61,2.56,23.234
7824.5,110.14,2.566,34.287
7825,111.68,2.573,28.776
7825.5,111.67,2.573,31.808
7826,111.66,2.573,37.681
7826.5,111.34,2.571,36.21
7827,111.01,2.57,28.85
7827.5,110.26,2.567,23.531
7828,109.51,2.564,24.923
7828.5,110.87,2.569,29.149
7829,112.24,2.576,39.571
7829.5,111.92,2.574,32.385
7830,111.6,2.573,33.129
7830.5,111.32,2.571,29.713
7831,111.03,2.57,37.865
7831.5,109.93,2.565,29.582
7832,108.83,2.561,28.574
7832.5,109.56,2.564,23.394
7833,110.29,2.567,32.907
7833.5,109.34,2.563,30.454
7834,108.39,2.559,23.103
7834.5,106.34,2.551,22.85
7835,104.29,2.544,16.083
7835.5,105.12,2.547,19.411
7836,105.95,2.55,20.849
7836.5,105.5,2.548,24.005
7837,105.05,2.546,17.729
7837.5,103.92,2.542,15.947
7838,102.79,2.539,16.764
