DEPTH,GR,RHOB,RT
8574.5,36.93,2.363,24.133
8575,37.84,2.365,21.131
8575.5,39.16,2.368,21.082
8576,48.45,2.392,13.1
8576.5,48.5,2.392,14.144
8577,48.13,2.391,12.052
8577.5,49.7,2.395,11.766
8578,50.13,2.396,11.826
8578.5,49.79,2.395,11.865
8579,45.54,2.384,13.33
8579.5,41.97,2.375,17.625
8580,40.51,2.372,17.867
8580.5,41.78,2.375,17.247
8581,44.88,2.382,13.974
8581.5,51.68,2.4,12.509
8582,54.33,2.407,11.793
8582.5,52.81,2.403,10.746
8583,54.17,2.407,10.32
8583.5,55.46,2.41,10.126
8584,53.56,2.405,12.115
8584.5,48.3,2.391,13.984
8585,41.02,2.373,18.141
8585.5,36.02,2.361,23.139
8586,33.09,2.354,30.596
8586.5,32.32,2.353,31.898
8587,33.56,2.355,25.502
8587.5,35.61,2.36,23.068
8588,36.29,2.362,21.835
8588.5,34.84,2.358,26.475
8589,33.37,2.355,26.894
8589.5,32.99,2.354,31.339
8590,33.57,2.355,28.293
8590.5,33.41,2.355,27.509
8591,35.83,2.361,22.912
8591.5,33.89,2.356,24.904
8592,32.8,2.354,31.033
8592.5,31.27,2.35,30.604
8593,33.33,2.355,28.035
8593.5,36,2.361,22.374
8594,37.14,2.364,21.078
8594.5,41.74,2.375,16.503
8595,38.89,2.368,18.783
8595.5,46.17,2.386,13.306
8596,51.94,2.401,10.876
8596.5,53.64,2.405,10.952
8597,54.32,2.407,10.27
8597.5,93.15,2.51,11.066
8598,96.1,2.518,13.402
8598.5,98.11,2.524,11.725
8599,97.24,2.522,12.078
8599.5,98.13,2.524,15.919
8600,97.73,2.523,10.861
8600.5,97.63,2.523,12.137
8601,97.6,2.523,12.711
8601.5,102.73,2.538,16.779
8602,111.96,2.574,46.182
8602.5,116.4,2.596,71.89
8603,117.9,2.603,118.541
8603.5,116.55,2.596,85.255
8604,116.16,2.594,67.808
8604.5,111.1,2.57,34.779
8605,108.02,2.557,28.937
8605.5,109.28,2.563,25.222
8606,114.36,2.586,63.153
8606.5,116.4,2.596,60.784
8607,116.53,2.596,74.025
8607.5,117.17,2.6,84.837
8608,117.03,2.599,111.902
8608.5,116.55,2.596,75.387
8609,116.87,2.598,75.514
8609.5,116.96,2.599,87.086
8610,116.89,2.598,76.36
8610.5,111.63,2.573,37.503
8611,110.19,2.566,29.705
8611.5,109.35,2.563,28.55
8612,108.07,2.558,28.358
8612.5,105.86,2.549,18.154
8613,104.27,2.544,22.734
8613.5,105.11,2.547,15.467
8614,101.47,2.534,14.74
8614.5,97.73,2.523,11.38
8615,94.05,2.513,12.941
8615.5,94.06,2.513,13.6
8616,96.16,2.518,10.294
8616.5,97.52,2.522,12.889
8617,98.49,2.525,15.817
8617.5,99.76,2.529,13.029
8618,100.04,2.53,11.333
8618.5,101.85,2.535,18.797
8619,102.94,2.539,19.332
8619.5,102.34,2.537,15.455
8620,99.61,2.528,12.615
8620.5,98.11,2.524,11.396
8621,99.77,2.529,16.617
8621.5,100.94,2.533,16.245
8622,99.19,2.527,14.315
8622.5,95.88,2.518,9.931
8623,95.02,2.515,13.067
8623.5,97.31,2.522,12.572
8624,99.52,2.528,12.394
8624.5,99.01,2.527,11.066
8625,98.11,2.524,11.67
8625.5,97.47,2.522,15.595
8626,97.76,2.523,10.994
8626.5,98.76,2.526,14.101
8627,98.89,2.526,11.121
8627.5,96.94,2.521,12.764
8628,94,2.513,10.12
8628.5,92.58,2.509,13.668
8629,93.28,2.511,10.1
8629.5,94.97,2.515,11.659
8630,98.12,2.524,15.563
8630.5,99.57,2.528,15.813
8631,97.69,2.523,11.283
8631.5,92.24,2.508,11.498
8632,86.57,2.493,8.426
8632.5,83.62,2.486,8.937
8633,84,2.487,9.034
8633.5,84.01,2.487,8.685
8634,81.8,2.481,8.244
8634.5,81.38,2.48,9.859
8635,84.08,2.487,10.17
8635.5,88.1,2.497,10.316
8636,87.34,2.495,8.872
8636.5,84.08,2.487,9.064
8637,80.96,2.479,8.856
8637.5,80.46,2.477,9.357
8638,81.88,2.481,9.809
8638.5,83.35,2.485,8.135
8639,87.17,2.495,9.416
8639.5,92.64,2.509,10.074
8640,97.64,2.523,14.478
8640.5,99.59,2.528,16.644
8641,100.87,2.532,13.722
8641.5,98.66,2.526,13.891
8642,95.8,2.517,14.333
8642.5,94.73,2.515,12.616
8643,95.41,2.516,12.678
8643.5,98.41,2.525,16.102
8644,100.99,2.533,12.006
8644.5,101.1,2.533,18.276
8645,98.97,2.527,12.05
8645.5,99.03,2.527,14.635
8646,102.11,2.536,13.371
8646.5,101.37,2.534,15.603
8647,97.2,2.521,10.526
8647.5,95.88,2.518,11.966
8648,98.22,2.524,14.279
8648.5,101.86,2.535,15.4
8649,103.04,2.539,14.875
8649.5,107.16,2.554,20.475
8650,108.94,2.561,26.707
8650.5,110.79,2.569,29.102
8651,108.89,2.561,25.041
8651.5,107.96,2.557,26.93
8652,108.94,2.561,29.56
8652.5,108.35,2.559,24.149
8653,108.61,2.56,23.828
8653.5,107.97,2.557,22.556
8654,108.35,2.559,22.957
8654.5,107.93,2.557,18.922
8655,109.36,2.563,33.369
8655.5,113.9,2.583,44.474
8656,116.4,2.596,81.417
8656.5,114.06,2.584,48.77
8657,112.41,2.576,34.134
8657.5,112.1,2.575,39.534
8658,111.12,2.57,38.75
8658.5,106.1,2.55,21.217
8659,104.91,2.546,15.52
8659.5,108.47,2.559,28.26
8660,112.76,2.578,41.686
8660.5,114.23,2.585,56.7
8661,113.09,2.579,43.105
8661.5,110.98,2.57,38.031
8662,107.93,2.557,28.386
8662.5,108.07,2.558,25.676
8663,108.59,2.56,22.134
8663.5,110.5,2.568,29.154
8664,110.98,2.57,26.518
8664.5,113.3,2.58,44.007
8665,114.05,2.584,46.714
8665.5,109.86,2.565,30.898
8666,106.11,2.55,16.626
8666.5,107.21,2.554,21.261
8667,110.78,2.569,31.678
8667.5,112.29,2.576,43.971
8668,109.78,2.565,34.65
8668.5,109.78,2.565,26.657
8669,109.78,2.565,32.369
8669.5,108.88,2.561,24.567
8670,106.45,2.551,23.837
8670.5,107.97,2.557,25.577
8671,110.08,2.566,23.362
8671.5,113.03,2.579,45.234
8672,115.3,2.59,66.349
8672.5,113.7,2.582,39.313
8673,110.03,2.566,31.64
8673.5,103.42,2.541,18.219
8674,98.06,2.524,12.638
8674.5,98.47,2.525,12.957
8675,103.8,2.542,16.551
8675.5,112.06,2.575,36.108
8676,115.01,2.589,53.311
8676.5,111.99,2.574,28.222
8677,108.04,2.558,23.259
8677.5,105.72,2.549,15.951
8678,106.15,2.55,19.722
8678.5,106.39,2.551,16.986
8679,105.54,2.548,18.106
8679.5,104.44,2.544,19.76
8680,105.05,2.546,15.815
8680.5,108.56,2.56,28.675
8681,109.22,2.562,28.213
8681.5,107.77,2.556,23.093
8682,105.6,2.548,23.706
8682.5,107.45,2.555,20.474
8683,109.99,2.566,26.945
8683.5,112.46,2.577,38.193
8684,113.76,2.583,46.834
8684.5,115.11,2.589,47.798
8685,113.71,2.582,58.708
8685.5,111.58,2.573,35.322
8686,109.38,2.563,30.444
8686.5,110.61,2.568,30.258
8687,109.94,2.565,29.539
8687.5,106.92,2.553,27.836
8688,99.47,2.528,14.92
8688.5,95.91,2.518,13.028
8689,99.14,2.527,15.515
8689.5,104.21,2.543,20.143
8690,109.5,2.564,30.698
8690.5,112.94,2.579,36.031
8691,117.05,2.599,97.053
8691.5,117.44,2.601,94.23
8692,116.36,2.596,76.711
8692.5,114.29,2.585,58.448
8693,114.45,2.586,40.992
8693.5,115.14,2.589,59.771
8694,116.2,2.595,90.589
8694.5,117.22,2.6,99.02
8695,117.4,2.601,101.202
8695.5,115.68,2.592,69.145
8696,110.62,2.568,34.064
8696.5,107.11,2.554,20.379
8697,106.4,2.551,25.891
8697.5,105.22,2.547,19.521
8698,103,2.539,17.827
8698.5,102.61,2.538,17.804
8699,103.85,2.542,17.094
8699.5,103.72,2.542,21.38
8700,101.89,2.536,19.968
8700.5,99.57,2.528,13.334
8701,100.91,2.532,16.136
8701.5,104.96,2.546,20.779
8702,106.35,2.551,21.069
8702.5,105.4,2.548,18.882
8703,104.73,2.545,21.469
8703.5,105.77,2.549,22.127
8704,105.79,2.549,19.766
8704.5,103.87,2.542,19.238
8705,103.96,2.542,18.683
8705.5,107.05,2.554,25.94
8706,108.71,2.56,27.812
8706.5,106.12,2.55,22.075
8707,104.21,2.543,16.568
8707.5,103.72,2.542,16.838
